,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
05.06.00,,"3000A 4P TPN Aluminium Bus Duct (IP55) from TX6 to MSB-TENANT
Approx length: m",90," 1,504.00 "," 135,360.00 "," 1,504.00 "," 135,360.00 ",,,," 1,642.49 "," 147,824.00 ",," 2,182.50 "," 196,425.00 ",,,,," 1,502.00 "," 135,180.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 1,456.00 "," 131,040.00 ",,,,,,,,,,
06.00.00,,To supply and install the following c/w necessary accessories,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
06.01.00,,Remote control panel,1," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,," 80,000.00 "," 80,000.00 ",," 22,800.00 "," 22,800.00 ",,,,," 19,550.00 "," 19,550.00 ",,,,,,,
06.02.00,,Control Cabling,1," 15,000.00 "," 15,000.00 "," 15,000.00 "," 15,000.00 ",,,," 60,000.00 "," 60,000.00 ",," 25,200.00 "," 25,200.00 ",," 22,000.00 "," 22,000.00 ",, 76.00 ," 23,940.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 8,800.00 "," 8,800.00 ",,,,,,,,,,
07.00.00,,"ANY OTHER MATERIAL NOT INCLUDED ABOVE BUT NECESSARY TO COMPLETE THE ABOVE SYSTEM AND FOR THE EFFICIENT AND FUNCTIONING OF THE SYSTEM. 
(TO BE DETAILED BY TENDERER)",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,," 150,000.00 "," 150,000.00 ",,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,"Total 02.00.00 - 06.00.00 To Be Carried Forward
To Summary of Tender Prices",,," 7,906,090.15 ",," 7,917,990.00 ",,, -   ,," 7,569,754.00 ",,," 9,660,085.00 ",,," 7,543,940.00 ",,," 6,954,755.00 ",,, -   ,,, -   ,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.00.00,,"33KV HT SYSTEM

Supply and install including necessary machineries and accessories to complete the entire system installation for this part of the works (Consumer 33kV Switchboard)",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.00,,LABOUR for the unloading and installation of 33kV 630A VCB panel (as per drawing & specification).,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.01,,33kV Consumer Switchgear Panel 1 Landlord 33kV as  per drawing & specification located in Consumer Room,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.01.01,,Incoming Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
07.01.01.02,,Outgoing Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
