ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
02.02.06.5,,SOHO Box,,Lot,Rate Only,, Rate Only ,,, Rate Only , 158.00 , Rate Only ,,, Rate Only ,, 150.00 , Rate Only ,, 320.00 , Rate Only ,,, Rate Only ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.00,,Testing and Commissioning of the whole Telephone system.,,Lot,1,, -   ,100%, -   , -   ," 3,669.90 "," 3,669.90 ",," 6,000.00 "," 6,000.00 ",," 7,000.00 "," 7,000.00 ",," 8,000.00 "," 8,000.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.00,,"Price for any other items not mentioned in the above items but shown in the drawings or described in the specification or obviously deemed necessary for complete installation, satisfactory and efficient operation and maintenance for Telecommunication Services to authorities approval and good engineering practice. If no details are to be given below, it is deemed that the tenderer has allowed and captured the above items in the tender prices.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total 02.00.00 To Be Carried Forward
To Summary of Tender Prices",,,,, -   ,,, -   ,," 234,600.64 ",,," 183,020.00 ",,," 166,900.00 ",,," 145,043.00 ",,," 141,910.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.00.00,,SECURITY SERVICES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.00,,"CCTV System
To  supply,  install,  testing,  commissioning  and handover  the CCTV  System  c/w  all  necessary accessories for complete installation.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.01,,"To  supply  &  install  CCTV  main  equipment c/w 
- Wall mounted rack 
- 32 Channel Network Video Recorder c/w (Recording  Up to 90 Days, Based on Motion Recording, 15fps), H.265+/H.265/ H.264+/H.264/ MPEG4 Video Compression,  Recording  at Up to 8MP, Supports  Live  View, Storage   and   Playback   of   the   Connected   Camera,   Upto   4   SATA   Interfaces Connectable for HDD Connection.  
- 24/48 port network switch
- 24/48 port UTP patch panel
- Fiber patch panel
- Power and data surge arrestor
- HDMI cable / Cat6 cable
- Surge protection devices (SPD) for both data and power 
lines
and necessary accessories to complete installation. 
(Located at Control Room and Management Office)",,Lot,2,, -   ,100%, -   , -   ," 29,557.50 "," 59,115.00 ",," 24,000.00 "," 96,000.00 ", 4 NOS ," 80,000.00 "," 80,000.00 ", 1LOT ," 18,933.00 "," 37,866.00 ",," 123,700.00 "," 247,400.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.02,,"3kVA UPS c/w 90 minutes backup battery, battery charger, battery   rack   and   other   necessary accessories to complete installation.",,No,2,, -   ,100%, -   , -   ," 5,555.50 "," 11,111.00 ",," 10,000.00 "," 20,000.00 ",," 7,000.00 "," 14,000.00 ",," 8,400.00 "," 16,800.00 ",," 16,300.00 "," 32,600.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.03,,"Workstation computer c/w  patch cord, CCTV Management System Software and all other accessories (Located at Management Office)",,No,1,, -   ,100%, -   , -   ," 23,649.20 "," 23,649.20 ",," 4,900.00 "," 4,900.00 ",," 10,000.00 "," 10,000.00 ",," 8,000.00 "," 8,000.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.04,,40 inch CCTV monitor c/w HDMI Cable and Wall Mounting Bracket complete with bracket support and all other necessary accessories. (Located at MO),,No,4,, -   ,100%, -   , -   ," 1,506.10 "," 6,024.40 ",," 1,600.00 "," 6,400.00 ",," 2,500.00 "," 10,000.00 ",," 2,000.00 "," 8,000.00 ",," 2,500.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.05,,"To supply and install 5MP IR Bullet Camera Weatherproof (IP67 Rating) c/w sensor bracket, and all necessary accessories.",,No,37,, -   ,100%, -   , -   , 393.50 ," 14,559.50 ",, 600.00 ," 22,200.00 ",, 500.00 ," 18,500.00 ",, 573.00 ," 21,201.00 ",," 1,100.00 "," 40,700.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
