ALP2-BMS-BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
6.02,,BMS server to core switch,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",," 15,000.00 "," 15,000.00 ",,,,,, Network Switch covered ,, -   , included ,, Included , Included ,, 200.00 , 200.00 ,
6.03,,Core switch to BMS Controller,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",," 20,000.00 "," 20,000.00 ",,,,,, Network Switch to BMS Controller ,,, included ,, Included , Included ,," 40,000.00 "," 40,000.00 ",
6.04,,Core switch to BMS workstation,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",," 20,000.00 "," 20,000.00 ",,,,,, Network Switch to BMS Workstation ,,, included ,, Included , Included ,, 200.00 , 200.00 ,
6.05,,BMS controller to field devices including high level interfaces.,,Lot,1,, -   ,100%, -   , -   ," 651,000.00 "," 651,000.00 ",," 655,000.00 "," 655,000.00 ",,,,,, Included ,," 326,350.00 "," 326,350.00 ",, Included , Included ,, 300.00 ," 287,100.00 ", Qty: 957 Nos. 
,,"Note: Cable containment to be sufficiently sized with 45% space factor for trunking and 40% space factor for conduit. GI trunking/conduit for indoor, HDGI trunking/conduit for outdoor and epoxy powder coated truning/conduit for within data hall & fan wall corridor spaces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 6.0 CABLING WORKS & SUPPORT (RM),,,,, -   ,,, -   ,," 655,000.00 ",,," 710,000.00 ",,," 330,000.00 ",,," 989,313.00 ",,," 326,350.00 ",,," 665,000.00 ",,," 327,700.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BUILDING MANAGEMENT SYSTEM (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Any other work not specified but required to complete / operate / efficient functioning the entire BMS system
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIM Modelling (Nexa Control),,Lot,1,,,,,," 35,000.00 "," 35,000.00 ",,,,,,,,,,,,,,,,,,,
,,Site Mobilisation (Solar District),,Lot,1,,,,,,,,,,,," 28,400.00 "," 28,400.00 ",,,,,,,,,,,,,
,,SST (6%) (Oberix),,Lot,1,,,,,,,,,,,,,,,,,," 56,407.20 "," 56,407.20 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
