ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
,,External Louver ,,Lot,1," 1,820.00 "," 1,820.00 "
,,,,,,,
03.03.32,,PFF-R00-LL1-01,,,,,
,,Pressurization Air Grille ,,Lot,1," 13,740.00 "," 13,740.00 "
,,,,,,,
03.03.33,,PFF-R00-LL2-01,,,,,
,,Pressurization Air Grille ,,Lot,1," 13,740.00 "," 13,740.00 "
,,,,,,,
03.03.34,,PFF-R00-LL4-01,,,,,
,,Pressurization Air Grille ,,Lot,1," 10,310.00 "," 10,310.00 "
,,,,,,,
03.03.35,,PFF-R00-S1-01,,,,,
,,Pressurization Air Grille ,,Lot,1," 8,590.00 "," 8,590.00 "
,,,,,,,
03.04.00,,"TO SUPPLY AND INSTALL the followings control panel  as per tender drawing and specifications c/w circuit breaker, earth leakage protection, electrical bar, panel, earthing and all necessary accessories.",,,,,
,,,,,,,
03.04.01,,EFP-F00-HT,,Lot,1," 4,770.00 "," 4,770.00 "
03.04.02,,EFP-M00-SC1,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.03,,EFP-M00-SC2,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.04,,EFP-M00-SC3,,Lot,1," 7,420.00 "," 7,420.00 "
03.04.05,,EFP-M01-SC1,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.06,,EFP-M01-SC2,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.07,,EFP-M01-SC3,,Lot,1," 7,420.00 "," 7,420.00 "
03.04.08,,EFP-M02-SC1,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.09,,EFP-M02-SC2,,Lot,1," 6,890.00 "," 6,890.00 "
03.04.10,,EFP-M02-SC3,,Lot,1," 7,420.00 "," 7,420.00 "
03.04.11,,EFP-PAF-01,,Lot,1," 13,250.00 "," 13,250.00 "
03.04.12,,EFP-PAF-02,,Lot,1," 13,250.00 "," 13,250.00 "
03.04.13,,EFP-PAF-03,,Lot,1," 13,250.00 "," 13,250.00 "
03.04.14,,EFP-PAF-04,,Lot,1," 8,700.00 "," 8,700.00 "
03.04.15,,MCC-SSF-01,,Lot,1," 31,800.00 "," 31,800.00 "
03.04.16,,MCC-SSF-02,,Lot,1," 31,800.00 "," 31,800.00 "
03.04.17,,EFP-KEF-01,,Lot,1," 6,890.00 "," 6,890.00 "
,,,,,,,
03.05.00,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,,,, -   
,,,,,,,
03.05.01,,EXF-F00-CW-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.02,,EXF-F00-FP-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.03,,EXF-F00-FP-02,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.04,,EXF-F00-CON-01 TO 06,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.05,,FAF-F00-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.06,,EXF-M00-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.07,,FAF-M00-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.08,,EXF-M00-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
